ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Central Board of Direct Taxes (Income Tax),RANGE SULTANPUR,ITOSL,INCOME TAX OFFICER SULTANPUR,"INCOME TAX OFFICE SULTANPUR,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),TDS RANGE PANCHKULA,ITOSM,INCOME TAX OFFICE TDS SHIMLA,"AAYAKAR BHAWAN SDA COMPLEX BLOCK NO 22 KASUMPTI SH, IMLA",171009.0,INCOME TAX OFFICER TDS SHIMLA,5.0
Central Board of Direct Taxes (Income Tax),RANGE GONDA,ITOSN,INCOME TAX OFFICER SIDDHARTH NAGAR,"INCOME TAX OFFICER-SIDDHARTH NAGAR, INCOME TAX OFFICE  CIVIL LINE, BASTI",272001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOSO,ITO SOLAN,"AAYAKAR BHAWAN  KATHED BYE PASS ROAD SOLAN, SOLAN, SOLAN",173212.0,ITO Solan,3.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 122,ITOSR,ITO 1223,"Aaykar Bhavan room no 123B, New marine lines, mumbai",400020.0,ITO 1223,6.0
Central Board of Direct Taxes (Income Tax),JT CIT INTL TAXN,ITOST,ITO IT SURAT,"Aaykar bhavan, Surat",394010.0,INCOMETAX OFFICER IT SURAT,6.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOSU,ITO SUNDERNAGAR,"INCOME TAX DEPTT SUNDERNAGAR, SUNDERNAGAR, SUNDERNAGAR",175019.0,ITO Sundernagar,3.0
Central Board of Direct Taxes (Income Tax),Addl. CIT HQ Administraion,ITOSY,ITO SYSTEMS,"1ST FLOOR, AAYKAR BHAVAN  MUMBAI,  ",400020.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl.DIT International Taxaton Range 4,ITOT4,ITO Intl.  Taxn. TDS 4,"Room No. 115  1st Floor , Scindia House  Ballard EState , Mumbai-400038",400038.0,ITO Intl. Taxn. TDS 4,5.0
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER RANGE ITARSI,ITOTB,Income tax officer betul,"aayakar bhawan, college road, betul",460001.0,Income Tax Officer,
Central Board of Direct Taxes (Income Tax),Addl.DITInternational Taxation 3,ITOTD,ITO IT TDS,"Room NO. 137  1st Floor , Scindia House  Ballard Estate , Mumbai-400038",400038.0,ITO INT. TAXN. TDS3,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT IT Noida,ITOTK,INCOME TAX OFFICE - TDS- INTERNATIONAL TAXATION- KANPUR,"Room No -110  Vaibhav Bhawan , 15/295-A  Civil Lines , Kanpur",208001.0,ITO-TDS-IT KANPUR,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT IT Noida,ITOTN,INCOME TAX OFFICER TDS - INTERNATIONAL TAXATION- NOIDA,"Room No.-610  6th Floor , Aayakar Bhawan  A-2D  Sector-24 , NOIDA",201301.0,ITO -TDS- IT Noida,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax GORAKHPUR,ITOTS,INCOME TAX OFFICER TDS GORAKHPUR,"AAYAKAR BHAWAN, CIVIL LINES, GORAKHPUR",273001.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),JCIT TDS Indore,ITOTU,ITO TDS UJJAIN,"INCOME TAX OFFICE, UJJAIN",456001.0,ITO TDS UJJAIN,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jammu,ITOUD,ITOUD,"103 ward no 10 venus chowk  Dhar road  Udhampur,  ,  ",182101.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOUN,ITO UNA,"INCOME TAX DEPTT UNA, UNA, UNA",174303.0,ITO Una,3.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV1,INCOME TAX OFFICER WARD 1,"7TH FLOOR  ROOM NO - 708, FORTUNE SQAURE - II , DAMAN ROAD  CHALA. VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV2,INCOME TAX OFFICER WARD 2,"INCOME TAX OFFICE, DAMAN ROAD CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV3,INCOME TAX OFFICE WARD 3,"INCOME TAX OFFICE, DAMAN ROAD  CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV4,INCOME TAX OFFICER,"INCOME TAX OFFICE - DAMAN, DAMAN, NANI DAMAN",396210.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV5,INCOME TAX OFFICER,"INCOME TAX OFFICE, DAMAN ROAD  CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV6,INCOME TAX OFFICER WARD 6,"INCOME TAX OFFICER, DAMAN ROAD CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV7,INCOME TAX OFFICER WARD 7,"INCOME TAX OFFICE, DAMAN ROAD CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV8,INCOME TAX OFFICER WARD 8,"INCOME TAX OFFICE, DAMAN ROAD CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),VAPI RANGE,ITOV9,INCOME TAX OFFICER WARD 9,"INCOME TAX OFFICE, DAMAN ROAD  CHALA, VAPI",396191.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 122,ITOVD,ITO 1222,"Aaykar Bhavan room no 123B, New Marine lines, mumbai",400020.0,ITO 1222,6.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ITOW1,INCOME TAX OFFICER WARD 1,"AAYAKAR BHAWAN , ATLAS ROAD, SONEPAT",131001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ITOW2,INCOME TAX OFFICER WARD 2,"MINERVA COMPLEX, ATLAS ROAD, SONEPAT",131001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ITOW3,INCOME TAX OFFICER WARD 3,"MINERVA COMPLEX, ATLAS ROAD, SONEPAT",131001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ITOW4,INCOME TAX OFFICER WARD 4,MINERVA COMPLEX ATLAS ROAD SONEPAT,131001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of Income Tax Sonepat,ITOW5,INCOME TAX OFFICER WARD 5,MINERVA COMPLEX ATLAS ROAD SONEPAT,131001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOWA,ITO WARD SHIMLA,"ITO WARD 1 SHIMLA, RAILWAY BOARD BUILDING THE MALL SHIMLA, SHIMLA",171003.0,ITO Ward 1 Shimla,3.0
Central Board of Direct Taxes (Income Tax),ADDL CIT R2,ITOWD,ITOWD122,"ROOM NO. 205, 2ND FLOOR, AAYAKAR BHAVAN RACE COURSE",390007.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),TDS RANGE GURUGRAM,ITOWF,ITO TDS FARIDABAD,ITO  TDS  NEW C.G.O COMPLEX NH-4 FARIDABAD,121001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),JCIT KHANDWA,ITKGN,INCOME TAX OFFICER KHARGONE,"BISTAN ROAD, KHARGONE",451113.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commisioner of Incometax IT Vijayawada,ITKKD,Income tax Officer,"Deepthi Towers, Kakinada,  ",,Income tax Officer,6.0
Central Board of Direct Taxes (Income Tax),JCIT KHANDWA,ITKNW,INCOME TAX OFFICER 1 KHANDWA,INCOME TAX OFFICECIVIL LINESKHANDWA,450001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Range3 Etah,ITKS3,INCOME TAX OFFICER KASGANJ,"AAYAKAR BHAWAN, SORON GATE, KASGANJ",207123.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CCIT PANAJI,ITM11,INCOME TAX DEPARTMENT,"C R BUILDING ATTAVARA MANGALURU,  ,  ",575001.0,INCOME TAX OFFICERWARD1RANGE1,4.0
Central Board of Direct Taxes (Income Tax),CCIT PANAJI,ITM12,ITO WARD2 RANGE 1 MANGALURU,"C R BUILDING ATTAVAR MANGALURU,  ,  ",,INCOME TAX OFFICER,4.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 14 3,ITM31,INCOME TAX OFFICER 14.3.1,"Room No.554  Aayakar Bhavan, M K Road, Mumbai",400020.0,INCOME TAX OFFICER 14.3.1,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 14 3,ITM32,INCOME TAX OFFICER 14.3.2,"458  AAYAKAR BHAVAN, M K ROAD, MUMBAI",400020.0,INCOME TAX OFFICER 14.3.2,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 14 3,ITM33,INCOME TAX OFFICER 14.3.3,"ROOM NO.453  AAYAKAR BHAVAN, M K ROAD, MUMBAI",400020.0,INCOME TAX OFFICER 14.3.3,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 14 3,ITM34,INCOME TAX OFFICER 14.3.4,"ROOM NO.455  AAYAKAR BHAVAN, M K ROAD, MUMBAI",400020.0,INCOME TAX OFFICER 14.3.4,6.0
Central Board of Direct Taxes (Income Tax),ADDITIONAL COMMISSIONER RANGE 5,ITMB1,INCOME TAX DEPARTMENT,"MAHABOOB NAGAR,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),ADDITIONAL COMMISSIONER RANGE 5,ITMB2,INCOME TAX DEPARTMENT,"MAHABOOB NAGAR,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE 1 JABALPUR,ITMDL,INCOME TAX OFFICER MANDLA,"INCOME TAX OFFICE,  , MANDLA",,INCOME TAX OFFICER MANDLA,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range1 Tirupati,ITMP1,ITO WARD1 MADANAPALLE,"G K REDDY COMPLEX, CTM ROAD, MADANAPALLE",,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),CIT International taxation 2,ITMUM,Office of the Addl. CIT IT Range 21 Mumbai,"Room No. 1710, Air India Building  17th Floor, MUMBAI",400021.0,Addl. CIT IT Range 21 Mumbai,5.0
Central Board of Direct Taxes (Income Tax),Morbi Range,ITMVI,MORBI RANGE,"MORBI,  ,  ",363641.0,ITO WD 1 MORBI,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE1 NOIDA,ITN02,ITO Wd. 12 NOIDA,"ROOM NO. 304  AAYAKAR BHAWAN, A-2D  SECTOR-24, NOIDA",201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE1 NOIDA,ITN03,ITO Wd. 1 3 NOIDA,"ROOM NO. 305  AAYAKARA BHAWAN, A-2D  SECTOR-24, NOIDA",201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE1 NOIDA,ITN04,ITO Wd. 14,"ROOM NO. 306  AAYAKARA BHAWAN, A-2D  SECTOR-24, NOIDA",201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE1 NOIDA,ITN05,ITO 15,"ROOM NO 307  AAYAKARA BHAWAN, A-2D  SECTOR-24, NOIDA",201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN11,Income Tax Officer Ward  1 1 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN13,Income Tax Officer Ward 1 3 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN14,Income Tax Officer Ward 1 4 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN21,Income Tax Officer 2 1 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN22,Income Tax Officer Ward 2 2 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN23,Income Tax Officer Ward 2 3 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN24,Income Tax Officer Ward 2 4 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN25,ITO 2 5 Noida,"Room No. 407  Aayakar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN31,Income Tax Officer Ward 3 1 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN32,Income Tax Officer Ward 3 2 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN33,Income Tax Officer Ward 3 3 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN34,Income Tax Officer Ward 3 4 Noida,"Aaykar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITN35,ITO 3 5 Noida,"Room No. 311  Aayakar Bhawan, A-2D  Sector-24, Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),Jt.CIT PALI RANGE,ITPAL,Income tax officer,"Income tax Office, MANDIYA ROAD, PALI",306401.0,INCOMETAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commisioner of Incometax IT Vijayawada,ITNLL,Income tax Officer,"Income tax office, Durgamitta  G.T.Road, Nellore",,Income tax Officer,6.0
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX IT MUMBAI II,ITR21,Addl. CIT IT Range 21,"Room No. 1710  AIR INDIA BUILDING, NARIMAN POINT, MUMBAI",400021.0,Addl. CIT IT Range 21 Mumbai,5.0
Central Board of Direct Taxes (Income Tax),CIT International taxation 2,ITR22,Office of the Addl. CIT IT Range 22 Mumbai,"Room No. 1714 Air India Building  17th Floor MUMBA, I",400021.0,Addl. CIT IT Range 22 Mumbai,5.0
Central Board of Direct Taxes (Income Tax),CIT International taxation 2,ITR23,Office of the Addl. CIT IT Range 23 Mumbai,"Room No. 103 , Scindia House  1st Floor, Mumbai",400038.0,Addl. CIT IT Range 23 Mumbai,5.0
Central Board of Direct Taxes (Income Tax),CIT International Taxation 3,ITR31,Addl. CIT IT 31,"1632  16th Floor, Air India building, Nariman Point Mumbai",400021.0,Addl. CIT IT 31,5.0
Central Board of Direct Taxes (Income Tax),CIT International Taxation 3,ITR32,Addl. CIT IT 32,"Room No. 1605 Air India Building, Nariman Point, MUMBAI",400021.0,Addl. CIT IT 32,5.0
Central Board of Direct Taxes (Income Tax),CIT International Taxation 3,ITR33,Addl. CIT IT 33,"R. No. 1605  16th Floor , Air India Building  Nariman Point, Mumbai",400021.0,Addl. CIT IT 33,5.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax ALIGARH,ITR85,Range1 Aligarh,"Income Tax office, Marris Road , Aligarh",202001.0,Jt. Commissioner ITax Aligarh,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax ALIGARH,ITR86,Income Tax Department,"O/o Addl./Jt. Commissioner of Income Tax, Railway Road, Etah",207001.0,Addl. Jt. CIT Range Etah,4.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax ALIGARH,ITR87,Income Tax Department,"o/o Addl./ Jt. Commissioner of Income tax, farrukhabad,  ",209625.0,Addl. Jt CIT Farrukhabad,4.0
Central Board of Direct Taxes (Income Tax),RANGE SULTANPUR,ITRB1,INCOME TAX OFFICER RAEBARELI,"INCOME TAX OFFICER 1 RAEBARELI,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),RANGE SULTANPUR,ITRB2,INCOME TAX OFFICER 2 RAEBARELI,"INCOME TAX OFFICE RAEBARELI,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),JCIT KHANDWA,ITSND,INCOME TAX OFFICER SENDHWA,"INCOME TAX OFFICE, A.B. ROAD  SENDHWA, DIST-BARWANI",451666.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Chhindwara,ITSNI,INCOME TAX OFFICE SEONI,"INCOME TAX OFFICE, WAINGANGA HEIGHT  BARAPATTHAR, SEONI",480661.0,INCOME TAX OFFICER SEONI,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE 1BAREILLY,ITSP4,ITO-1-4 Shahjahanpur,"Income Tax Department, Avas Vikas Colony, Bareilly More Shahjahanpur",242001.0,Income Tax Officer-1-4,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE 1BAREILLY,ITSP5,ITO-1-5 Shahjahanpur,"Income Tax Department, Avas Vikas Colony, Bareilly More Shahjahanpur",242001.0,Income Tax Officer-1-5,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ITT21,ITO WARD 2 1 TIRUPATI,"22  AAYAKAR BHAVAN, K T ROAD  TIRUPATI,  ",,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ITT22,income tax office ward 2 2 tirupati,22 AAYAKAR BHAVAN K T ROAD TIRUPATI,,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ITT23,INCOME TAX OFFICER WARD 2 3 TIRUPATI,"22 AAYAKAR BHAVAN, K T ROAD, TIRUPATI",,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Dhanbad,ITTBG,ITO TDS WARD BHAGALPUR,"ITO TDS WARD, BHAGALPUR,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Dhanbad,ITTBU,INCOMETAX DEPARMENT,"INCOMETAX OFFICE BEGUSARAI, BEGUSARAI",851101.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Ranchi,ITTDB,ITO TDS WARD BOKARO,"ITO TDS WARD BOKARO,  ,  ",827001.0,AMIT CHOUBEY,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Patna,ITTDD,ITOTDSDARBHANGA,"INCOME TAX OFFICE (TDS), DARBHNAGA, LALBAGH  DARBHANGA",846004.0,ITO TDS DARBHANGA,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Patna,ITTDG,ITOTDSGAYA,"RAI KASHI NATH MORE, SWARJPURI ROAD, GAYA",,ITO TDS GAYA,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Dhanbad,ITTDH,ITO TDS WARD DHANBAD,"LUBY CIRCULAR ROAD, DHANBAD,  ",826001.0,ITO TDS WARD DHANBAD,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Ranchi,ITTDJ,ITO TDS WARD JAMSHEDPUR,"INCOME TAX OFFICE JAMSHEDPUR,  ,  ",831002.0,SUNIL KUMAR,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Patna,ITTDM,ITOTDSMUZAFFARPUR,2nd Floor  R. K. Ashram Road  Bela Muzaffarpur,,ITO TDS MUZAFFARPUR,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Dhanbad,ITTDO,ITO TDS WARD DEOGHAR,"INCOME TAX OFFICE DEOGHAR, DEOGHAR",814211.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Patna,ITTDP,ITOTDSPATNA,6TH FLOOR C R BUILDING BIR CHAND PATEL PATH PATNA,800001.0,ITO TDS PATNA,5.0
Central Board of Direct Taxes (Income Tax),Joint Commissioner of Income Tax TDS Range Ranchi,ITTDR,TDS Ward Ranchi,"C R BUILDING MAIN ROAD, RANCHI,  ",834002.0,SANJEEV CHOURASIA,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commisioner of Incometax IT Vijayawada,ITVIJ,Income tax Officer,"Auto Nagar, Industrial Estate, Vijayawada",,Income tax Officer,6.0
Central Board of Direct Taxes (Income Tax),Addl.Commisioner of Incometax IT Vijayawada,ITVZG,Income tax Officer,"Infinity Towers, Sankaramatham Road, Visakhapatnam",,Income tax Officer,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 19 2,ITW01,ITO Ward 1,"Matrumandir, Tardeo,  ",400007.0,ITO Ward 1,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 19 2,ITW02,ITO Ward 2,"Matrumandir, Tardeo,  ",,ITO Ward 2,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 19 2,ITW03,ITO Ward 3,"Matrumandir, Tardeo,  ",400007.0,ITO Ward 3,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 19 2,ITW04,ITO Ward 4,"Matrumandir, Tardeo,  ",400007.0,ITO Ward 4,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 19 2,ITW05,ITO Ward 5,"Matrumandir, Tardeo,  ",400007.0,ITO Ward 5,6.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Range 1 New Delhi,ITW11,INCOME TAX OFFICER WARD 1 1,"380A  C R BUILDING, I P ESTATE, NEW DELHI",110002.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Range 1 New Delhi,ITW12,INCOME TAX OFFICER WARD 1 2,"380A C R BUILDING, I P ESTATE, NEW DELHI",110002.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Range 1 New Delhi,ITW13,INCOME TAX OFFICER WARD 1 3,"398B C R BUILDING, I P ESTATE, NEW DELHI",110002.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Range 1 New Delhi,ITW14,INCOME TAX OFFICER WARD 14,398B C R BUILDING I P ESTATE NEW DELHI,110002.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range 2 Pune,ITW21,Income Tax Officer Ward 2 1 Pune,PMT Building Shankar Seth Road Swargate Pune,411037.0,ITO Ward 2 1 Pune,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range 2 Pune,ITW22,Income Tax Officer Ward 2 2 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 2 2 Pune,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range 2 Pune,ITW23,Income Tax Officer Ward 2 3 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 2 3 Pune,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range 2 Pune,ITW24,Income Tax Officer Ward 2 4 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 2 4 Pune,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT Range 2 Pune,ITW25,Income Tax Officer Ward 2 5 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 2 5 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 3 PUNE,ITW31,Income Tax Officer Ward 3 1 Pune,PMT Building Shankar Seth Road Swargate Pune,411037.0,ITO Ward 3 1 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 3 PUNE,ITW32,Income Tax Officer Ward 3 2 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 3 2 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 3 PUNE,ITW33,Income Tax Officer Ward 3 3,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 3 3 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 3 PUNE,ITW34,Income Tax Officer Ward 3 4,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 3 4 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 3 PUNE,ITW35,Income Tax Officer Ward 3 5,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 3 5 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 4 PUNE,ITW41,Income Tax Officer Ward 4 1 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 4 1 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 4 PUNE,ITW42,Income Tax Officer Ward 4 2 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 4 2 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 4 PUNE,ITW43,Income Tax Officer Ward 4 3 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 4 3 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 4 PUNE,ITW44,Income Tax Officer Ward 4 4 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 4 4 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT RANGE 4 PUNE,ITW45,Income Tax Officer Ward 4 5 Pune,"PMT Building Shankar Seth Road, Swargate, Pune",411037.0,ITO Ward 4 5 Pune,5.0
Central Board of Direct Taxes (Income Tax),ADDITIONAL COMMISSIONER RANGE 5,ITW51,INCOME TAX DEPARTMENT,"3RD FLOOR  D BLOCK,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),ADDITIONAL COMMISSIONER RANGE 5,ITW52,INCOME TAX DEPARTMENT,"3RD FLOOR  D BLOCK,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),ADDITIONAL COMMISSIONER RANGE 5,ITW53,INCOME TAX DEPARTMENT,"3RD FLOOR  D BLOCK,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 6 Kol,ITW61,Ward61,"P7 Chowringhee Square, Kolkata",700069.0,ITO,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 6 Kol,ITW62,Ward62,"P7 Chowringhee Square, Kolkata",700069.0,ITO,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 6 Kol,ITW63,Ward63,"P7 Chowringhee Square, Kolkata",700069.0,ITO,6.0
