Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Central Board of Direct Taxes (Income Tax),"Commissioner of Income Tax, JAMMU",ADLJ1,Range 1 Jammu,Aayakar Bhawan  Rail Head Complex,Dr. Ambedkar Chowk  Jammu, ,180012,Addl. CIT,4
Central Board of Direct Taxes (Income Tax),"Commissioner of Income Tax, JAMMU",ADLJ2,Range 2 Jammu,Aayakar Bhawan  Rail Head Complex Dr. Ambedkar Cho,wk  Jammu,NA,180012,ADDL. CIT,4
Central Board of Direct Taxes (Income Tax),Pr.DIT Investigation Lucknow,ADLKO,ADDL. DIRECTOR OF INCOME TAX INV,5  Ashok Marg  Aayakar Bhawan Lucknow,NA,NA,226001,Joint Director of Income Tax,5
Central Board of Direct Taxes (Income Tax),Pr.CIT Siliguri,ADLS1,Addl CIT R 1 Slg,Aayakar bhawan,NA,NA,734101,Joint CIT R 1 Slg,5
Central Board of Direct Taxes (Income Tax),Pr.CIT Siliguri,ADLS2,Addl CIT R 2 Slg,Aayakar bhawan,NA,NA,734101,Joint CIT R 2 Slg,5
Central Board of Direct Taxes (Income Tax),"Commissioner of Income Tax, JAMMU",ADLS3,Range 3 Srinagar,Income Tax Office Shah House  Post office Lane Raj, Bagh  Srinagar,NA,190008,ADDL. CIT,4
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,ADMAM,CIT ADMN TPS,2ND FLOOR  AAYKAR BHAVAN,ASHRAM ROAD,AHMEDABAD,380009,CIT ADMN TPS,3
Central Board of Direct Taxes (Income Tax),ADDL. DIRECTOR OF INCOME TAX INV,ADBLK,Assistant Director of Income tax Inv. Bareilly,Aayakar Bhawan ,Civil Lines ,Bareilly,243001,Deputy Director of Income Tax,6
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax BHOPAL (TDS),ADBPL,ADDL. CITTDS Bhopal,48  Aayakar Bhawan Hoshangabad RoadBhopal,NA,NA,462011,Joint CIT TDS,4
Central Board of Direct Taxes (Income Tax),CCIT PANAJI,ADBR1,ADDL COMMISSIONER OF INCOME TAX RANGE1 BELAGAVI,BLESSINGS PIONEER COMPLEX  OPP DISTRICT CIVIL,HOSPITAL DR.B R AMBEDKAR HOSPITAL,BELAGAVI,590001,ADDL CIT,4
Central Board of Direct Taxes (Income Tax),CCIT PANAJI,ADBR2,ADDL COMMISSIONER OF INCOME TAX R 2 BELAGAVI,FerozKhimjibhai Commercial Complex  Opp. Civil,Hospital  Dr. Ambedkar Road  Belagavi,Belagavi,590001,ADDL.CIT,4
Central Board of Direct Taxes (Income Tax),TDS RANGE JAIPUR,ADC29,Addl.CIT TDS Jaipur,Room No. 312  NCR Building ,Statue Circle ,Jaipur,302005,DCIT,5
Central Board of Direct Taxes (Income Tax),Pr. CIT Kurnool,ADATP,Additional CIT Anantapur,Aayakar Bhavan 3 rd Road  New town Anantapur,NA,NA,515001,Additional CIT Anantapur,5
Central Board of Direct Taxes (Income Tax),Pr. CCIT (CCA) Hyderabad,ADCHQ,Admn. & Vigilance,10-C  I.T. TOWERS  A.C. GUARDS ,MASAB TANK ,HYDERABAD,500004,ADDL. CIT H.QRS. ADMN. VIG.,3
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax LTU,ADCIT,Additional Commissioner of Income Tax LTU,29th Floor World Trade Centre  Cuffe Parade MUMBAI,NA,NA,400005,JT. CIT LTU,4
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX 2,ADCKN,Addl.Commissioner of Incometax Karimnagar,Aayakar Bhavan Near Bus Stand Karimnagar,NA,NA,NA,Addl.  Commissioner of Incometax,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income tax 12,AD121,Addl. CIT Rg 121,Rg 12 1 1st flr,AAykar Bhavan New Marine Lines,Mumbai,400020,Addl CIT,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income tax 12,AD122,Addl.CIT Rg 122,1st flr Aaykar Bhavan,New Marine Lines,Mumbai 400020,400020,Addl.CIT Rg 122,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income tax 12,AD123,Addl.CIT Rg 123,1st flr Aaykar Bhavan,New Marine Lines,Mumbai,400020,Addl CIT Rg 123,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax,AD131,Addl. CIT 13.1,Room No. 419B  4th Floor,Aayakar Bhavan  M. K. Road,Mumbai,400020,Jt. CIT,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax,AD132,Addl. CIT 13.2,Room No. 419A  4th Floor,M.K. Road  Aayakar Bhavan,Mumbai,400020,Jt. CIT,5
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax,AD133,Addl. CIT 13.3,Room No. 419B  4th Floor,M.K. Road  Aayakar Bhavan,Mumbai,400020,Jt. CIT,5
Central Board of Direct Taxes (Income Tax),ADDL CIT 9 2,AD092,ITO9.2.1,601A AAYAKAR BHAVAN,CHURCHGATE,MUMBAI,400020,INCOME TAX OFFICER,6
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 22 MUMBAI,AD223,ADDITIONAL COMMISSIONER OF INCOME TAX 22 3,Room No. 301  3rd. Floor  Piramal Chambers ,Lalbaugh  Parel,Mumbai - 400 012,400012,ADDL.CIT RANGE 22 3,5
Central Board of Direct Taxes (Income Tax),ADDL. DIRECTOR OF INCOME TAX INV,AD2LK,Assistant Director of Income tax Inv. 2 Lucknow,Aayakar Bhawan  Annexe  5  Ashok Marg  Lucknow Luc,know,NA,226001,Deputy Director of Income Tax,6
Central Board of Direct Taxes (Income Tax),ADDL CIT 35 3,AD353,CIRCLE 353,402 C-12,BKC,MUMBAI,400051,DCIT 353 MUMBAI,6
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX IT MUMBAI IV,AD41I,ADDL. CIT 4 1,1709  17TH FLOOR  AIR INDIA BUILDING  NARIMAN POIN,T MUMBAI,NA,400021,Joint CIT,5
Central Board of Direct Taxes (Income Tax),CIT IT 4,AD41M,ADDL. CIT IT41,ROOM NO. 1709  17TH FLOOR AIR INDIA BUILDING  NARI,MAN POINT  MUMBAI,NA,400021,Joint CIT,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX IT MUMBAI IV,AD42I,ADDL CIT IT 4 2,1705  17TH FLOOR ,AIR INDIA BUILDING  NARIMAN POINT,MUMBAI,400021,ADDL CIT,5
Central Board of Direct Taxes (Income Tax),CIT IT 4,AD42M,ADDL. CIT IT 42,1705  17 TH FLOOR ,AIR INDIA BUILDING ,NARIMAN POINT MUMBAI,400021,ADDL CIT,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX IT MUMBAI IV,AD43I,ADDL. CIT. 4 3 MUMBAI,1709  17 TH FLOOR  AIR INDIA BUILDING  NARIMAN POI,NT MUMBAI,NA,400021,Joint CIT,5
Central Board of Direct Taxes (Income Tax),CIT IT 4,AD43M,ADDL CIT 4 3 MUMBAI,1709  17TH FLOOR ,AIR INDIA BUILDING  NARIMAN POINT,MUMBAI,400021,JOINT CIT,5
Central Board of Direct Taxes (Income Tax),ADDL. DIRECTOR OF INCOME TAX INVESTIGATION,ADALD,ADIT Inv. Allahabad,Aayakar Bhawan  Civil Lines ,Allahabad, ,211001,Asstt. Director of Income Tax,6
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD01,Addl.CIT Range1 Kolkata,Aayakar Bhawan,7th Floor  R no 16,P7  Chowringhee Square  Kol,700069,Addl.CIT Range1 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD02,Addl.CIT Range2 KOLKATA,Aayakar Bhawan,7th Floor  R No 19,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range2 KOLKATA,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD03,Addl.CIT Range3 Kolkata,Aayakar Bhawan,4th Floor  R No 15,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range3 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD04,Addl.CIT Range4 Kolkata,Aayakar Bhawan,8th Floor  R No 8,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range4 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD05,Addl.CIT Range 5 Kolkata,Aayakar Bhawan,Floor No 8  R No 18,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range 5 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD06,Addl.CIT Range 6 Kolkata,Aayakar Bhawan,8th Floor  R No 18,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range 6 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD08,Addl.CIT Range 8 Kolkata,Aayakar Bhawan,5th Floor  R No 20,P7  Chowringhee Square ,700069,Addl.CIT Range 8 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD09,Addl.CIT Range 9 Kolkata,Aayakar Bhawan,5th Floor  R No 24,P7  Chowringhee Square,700069,Addl.CIT Range 9 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD10,Addl.CIT Range 10 Kolkata,Aayakar Bhawan,3rd Floor  R No 63,P7  Chowringhee Square,700069,Addl.CIT Range 10 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD11,Addl.CIT Range 11 Kolkata,Aayakar Bhawan,6th Floor  R No 16,P7  Chowringhee Square,700069,Addl.CIT Range 11 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD12,Addl.CIT Range 12 Kolkata,Aayakar Bhawan,7th Floor  R No 28,P7  Chowringhee Square,700069,Addl.CIT Range 12 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD13,Addl.CIT Range 13 Kolkata,Aayakar Bhawan Poorva,6th Floor  R No 605,P7  Chowringhee Square,700069,Addl.CIT Range 13 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD14,Addl.CIT Range 14 Kolkata,Aayakar Bhawan Poorva,6th Floor  R No 604,P7  Chowringhee Square,700069,Addl.CIT Range 14 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD15,Addl.CIT Range 15 Kolkata,Aayakar Bhawan Poorva,4th Floor  R No 405,P7  Chowringhee Square,700069,Addl.CIT Range 15 Kolkata,3
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 2 MUMBAI,ADD21,ADDL CIT 21,ROOM NO 551 AAYAKAR BHAVAN,M.K.ROAD,MUMBAI,400020,ADDL.C.I.T RANGE 2 1,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 2 MUMBAI,ADD22,ADDL CIT 22,ROOM NO 548 AAYAKAR BHAVAN,M.K.ROAD,MUMBAI,400020,ADDL.C.I.T RANGE 2 2,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 2 MUMBAI,ADD23,ADDL C I T RG.  2 3,ROOM NO 546  AAYKAR BHAVAN,MUMBAI, ,400020,ADDL CIT RANGE 2 3,5
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD25,Addl. CIT Range 25 Kolkata,Aayakar bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl. CIT Range 25 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD26,Addl.CIT Range 26 Kolkata,Aayakar Bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl.CIT Range 26 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD27,Addl. Range 27 Kolkata,Aayakar Bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl. Range 27 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD28,Addl. Range 28 Kolkata,Aayakar Bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl. Range 28 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD29,Addl. CIT Range 29 Kolkata,Aayakar Bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl. CIT Range 29 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD30,Addl. CIT Range 30 Kolkata,Aayakar Bhawan Dakshin,2 Gariahat Road South,Kolkata,700068,Addl. CIT Range 30 Kolkata,3
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 3 MUMBAI,ADD31,Addl.CIT Rg31,R.No.604  6th Flr  Aayakar Bhavan,mumbai, ,400020,Addl.CIT,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX 3 MUMBAI,ADD32,AddlCIT32,R.No.605  6th Floor Aayakar Bhavan, , ,400020,Addl.CIT32,5
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD34,Addl. CIT Range 34 Kolkata,Aayakar Bhawan Poorva,110 Santipally,Kolkata,700107,Addl. CIT Range 34 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD35,Addl. CIT Range 35 Kolkata,Aayakar Bhawan Poorva,110 Santipally,Kolkata,700107,Addl. CIT Range 35 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD36,Addl. CIT Range 36 Kolkata,Aayakar Bhawan Poorva,110 Santipally,Kolkata,700107,Addl. CIT Range 36 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD37,Addl.CIT Range 37 Kolkata,I.T.Office,3 G P West,Kolkata,700001,Addl.CIT Range 37 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD38,Addl.CIT Range 38 Midnapore,I.T.Office,Amaravati Lodge,Midnapore,721101,Addl.CIT Range 38 Midnapore,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD39,Addl.CIT Range 39 Kolkata,I.T.Office,Sahoo Bhawan,Midnapore,721101,Addl.CIT Range 39 Midnapore,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD40,Addl. CIT Range 40 Kolkata,3 Govt Pl West,Kolkata,NA,700001,Addl. CIT Range 40 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD41,Addl. CIT Range 41 Nadia,I.T.Office,Nadier Para,Nadia,741101,Addl. CIT Range 41 Nadia,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD42,Addl. CIT Range 42 Murshidabad,Aayakar Bhawan,Murshidabad,NA,742101,Addl. CIT Range 42 Murshidabad,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD43,Addl.CIT Range 43 Kolkata,I.T.Office,3 G P West,Kolkata,700001,Addl.CIT Range 43 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD44,Addl.CIT Range 44 Kolkata,I.T.Office,3 G P West,Kolkata,700001,Addl.CIT Range 44 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD45,Addl.CIT Range 45 Kolkata,I.T.Office,3 G P West,Kolkata,700001,Addl.CIT Range 45 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD46,Addl. CIT Range 46 Kolkata,3 Govt Place West,Kolkata,NA,700001,Addl. CIT R-46 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD47,Addl. CIT Range 47 Kolkata,3 Govt Pl West,Kolkata,NA,700001,Addl. CIT Range 47 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD48,Addl. CIT Range 48 Kolkata,3 Govt Pl West,Kolkata,NA,700001,Addl. CIT Range 48 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD49,Addl.CIT Range 49 Kolkata,Uttarapan Complex,Ultadanga Kolkata,NA,700054,Addl.CIT Range 49 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD50,Addl.CIT Range 50 Kolkata,Uttarapan Complex,Ultadanga Kolkata,NA,700054,Addl.CIT Range 50 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD51,Addl.CIT Range 51 Kolkata,Uttarapan Complex,Ultadanga Kolkata,NA,700054,Addl.CIT Range 51 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD52,Addl.CIT 52 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT R-52 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD53,Addl.CIT Range 53 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 53 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD54,Addl.CIT Range 54 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 54 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD55,Addl.CIT Range 55 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 55 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD56,Addl.CIT Range 56 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 56 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD57,Addl.CIT Range 57 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 57 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD58,Addl.CIT Range 58 Kolkata,Bamboovilla building,Kolkata,NA,700014,Addl.CIT Range 58 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD59,Addl.CIT Range 59 Kolkata,Bamboovilla Building,Kolkata,NA,700014,Addl.CIT Range 59 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD60,Addl.CIT Range 60 Kolkata,Bamboovilla Building,Kolkata,NA,700014,Addl.CIT Range 60 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD61,Addl.CIT Range 61 Kolkata,Bamboovilla Building,Kolkata,NA,700014,Addl.CIT Range 61 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD62,Addl.CIT Range 62 Kolkata,Bamboovilla Building,Kolkata,NA,700014,Addl.CIT Range 62 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADD63,Addl.CIT Range 63 Kolkata,Bamboovilla Building,Kolkata,Kolkata,700014,Addl.CIT Range 63 Kolkata,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDA1,Addl. CIT Range 1 Asansol,Parmar Building,Asansol,NA,713304,Addl. CIT Range 1 Asansol,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDA2,Addl. CIT Range 2 Asansol,Parmar building ,Asansol,NA,713304,Addl. CIT Range 2 Asansol,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDA3,Addl. CIT Range 3 Asansol,Parmar Building,Asansol,NA,713304,Addl. CIT Range 3 Asansol,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDC3,Addl.CIT Range 3 Central Kolkata,Aayakar Bhawan Poorva,Kolkata,NA,700107,Addl.CIT Range 3 Central Kol,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDC4,Addl.CIT Range 4 Central Kolkata,Aayakar Bhawan Poorva,Kolkata,NA,700107,Addl.CIT Range 4 Central Kol,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX MUMBAI,ADCOD,Additional Commissioner of Income Tax Coordination,Room No. 335  Third Floor ,Aayakar Bhawan  Mumbai, ,400020,Additional CIT Coordination,3
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX 2,ADCR2,Addl.Commissioner of Incometax Range2 Hyderabad,5th floor  Signature Towers Kondapur,Hyderabad, ,500084,Addl.Commissioner of Incometax,5
Central Board of Direct Taxes (Income Tax),PR. CIT CEN 2,ADCR3,Addl CIT Cen Rg 3,19th flr Air India Bldg Nariman Point Mumbai 21,NA,NA,400021,Addl CIT Cen Rg 3,5
Central Board of Direct Taxes (Income Tax),PR. CIT CEN 2,ADCR4,Addl CIT Cen Rg 4,19th flr Air India Bldg Nariman Point Mumbai 21,NA,NA,400021,Addl. CIT Cen Rg 4,5
Central Board of Direct Taxes (Income Tax),PR. COMMISSIONER OF INCOME TAX 2,ADCR8,Addl.Commissioner of Incometax Range8 Hyderabad,6th floor  Signature Towers ,Kondapur Hyderabad, ,500084,Addl.Commissioner of Incometax,5
Central Board of Direct Taxes (Income Tax),CIT EXEMPTIONS MUMBAI,ADDE1,ADDL CIT EXEMPTION 1,PIRAMAL CHAMBERS,PIRAMAL CHAMBERS,MUMBAI,400012,ADDL CIT  EXEMPTION RANGE 1,4
Central Board of Direct Taxes (Income Tax),CIT EXEMPTIONS MUMBAI,ADDE2,ADDL CIT EXEMPTION RANGE 2,PIRAMAL CHAMBER, , ,NA,ADDL CIT EXEMPTION RANGE 2,4
Central Board of Direct Taxes (Income Tax),CIT INTERNATIONAL 3 DELHI,ADDH3,Addl. CIT IT R DDN,Income Tax Office,Aaykar Bhawan  Subhash Marge,Dehradun,248001,Addl. CIT Range Dehradun,4
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDJ1,Addl.CIT Range 1 Jalpaiguri,Central Revenue Building,Jalpaiguri,NA,735101,Addl.CIT Range 1 Jalpaiguri,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDJ2,Addl.Cit Range 1 Jalpaiguri,Central Revenue Building,Jalpaiguri,NA,735101,Addl.Cit Range 2 Jalpaiguri,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDJ3,Addl.CIT Range 3 Jalpaiguri,Income Tax Office,Malda,NA,732101,Addl.CIT Range 3 Malda,3
Central Board of Direct Taxes (Income Tax),PR DIRECTOR OF INCOME TAX INV JAIPUR,ADDJD,ADDITIONAL DIRECTOR OF INCOME TAX INVESTIGATION JODHPUR,AAYAKAR BHAWAN  PAOTA C ROAD,JODHPUR,NA,342003,JT DIT INV JODHPUR,5
Central Board of Direct Taxes (Income Tax),PR DIRECTOR OF INCOME TAX INV JAIPUR,ADDJP,Additional Director of Income Tax Investigation Jaipur,IInd Floor NCR Building ,Statue Circle  Jaipur,NA,302005,ADDL DIT INV JAIPUR,5
Central Board of Direct Taxes (Income Tax),"Director of Income Tax (Intl. Tax)-I, Mumbai",ADDL1,INCOME TAX DEPT.,#102 ,Scindia House Ballard Pier,Mumbai,400038,Addl DIT IT Range 1 Mumbai,4
Central Board of Direct Taxes (Income Tax),"Director of Income Tax (Intl. Tax)-I, Mumbai",ADDL2,INCOME TAX DEPT.,#108,Scindia House  Ballard Pier ,Mumbai,400038,Addl. DIT IT Range 2,4
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax Ahmedabad VI,ADDL6,Addl.Commissioner of Income Tax 6.1 Ahmedabad,ROOM NO. 313  AAYAKAR BHAVAN  VEJALPUR  AHMEDABAD.,NA,NA,380009,Addl.Commissioner of IncomeTax,4
Central Board of Direct Taxes (Income Tax),Pr Commissioner of Income tax Bhopal,ADDLB,Addl. Commissioner of Income Tax Central Bhopal,Ayakar Bhawan,48 Arera Hills  Hoshangabad Road,Bhopal,462011,Addl. CIT,5
Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX ITTP AHEMDABAD,ADDLC,Addlcittp,Room No-204  Navjeevan Trust Building  Behind Guja,rat Vidhyapith  Ashram Road  Ahmedabad.,NA,380014,Jt CIT IT Ahmedabad,5
Central Board of Direct Taxes (Income Tax),CIT EXEMPTIONS MUMBAI,ADDLE,Addl. CIT Exemptions Range 2 Mumbai,Piramal Chambers  Room NO. 516  Lalbaugh ,Mumbai 400 012., ,400012,Addl.CIT Exemptions Range 2,4
Central Board of Direct Taxes (Income Tax),Pr Commissioner of Income tax Bhopal,ADDLI,Addl. Commissioner of Income Tax Central Indore,Aayakar Bhawan,White Church Road,Indore,452001,Addl. CIT,5
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADDO7,Addl.CIT Range 7 Kolkata,Aayakar Bhawan,5th Floor  R No 23 ,P7  Chowringhee Square  Kolkata,700069,Addl.CIT Range 7 Kolkata,3
Central Board of Direct Taxes (Income Tax),CIT INTERNATIONAL 3 DELHI,ADDT3,Addl. CIT IT Range 3  1,Room No 413 E-2 Block,Dr. SPM Civic Centre,Delhi,110002,Addl. CIT IT Range 3 1,4
Central Board of Direct Taxes (Income Tax),DIT INVESTIGATION,ADDU1,INCOME TAX INVESTIGATION DIRECTORATE,PRINCIPAL DIRECTOR OF INCOME TAX INV. KOLKATA,P 13 CHOWRINGHEE SQUARE,KOLKATA,700069,ADDL. DIT INV. U 1 KOLKATA,4
Central Board of Direct Taxes (Income Tax),DIT INVESTIGATION,ADDU2,INCOME TAX INVESTIGATION DIRECTORATE KOLKATA,PDIT INV. KOLKATA,AAYAKAR BHAWAN ANNEXE,P-13 CHOWRINGHEE SQUARE KOLKATA,700069,ADDL DIT INV. U 2 KOLKATA,4
Central Board of Direct Taxes (Income Tax),DIT INVESTIGATION,ADDU3,INCOME TAX INVESTIGATION DIRECTORATE,PDIT INV. KOLKATA,AAYAKAR BHAWAN ANNEXE,P-13 CHOWRINGHEE SQUARE KOLKATA,700069,ADDL DIT INV. U 3 KOLKATA,4
